,Date,monthly_return_per,president
441,1907-11-30,-5.87349397590361,Theodore Roosevelt
442,1907-12-31,5.1200000000000045,Theodore Roosevelt
443,1908-01-31,4.26179604261795,Theodore Roosevelt
444,1908-02-29,-3.649635036496351,Theodore Roosevelt
445,1908-03-31,4.090909090909098,Theodore Roosevelt
446,1908-04-30,5.385735080058226,Theodore Roosevelt
447,1908-05-31,5.386740331491708,Theodore Roosevelt
448,1908-06-30,0.1310615989515044,Theodore Roosevelt
449,1908-07-31,3.6649214659685896,Theodore Roosevelt
450,1908-08-31,4.2929292929292915,Theodore Roosevelt
451,1908-09-30,-1.0895883777239692,Theodore Roosevelt
452,1908-10-31,1.2239902080783311,Theodore Roosevelt
453,1908-11-30,6.7714631197098,Theodore Roosevelt
454,1908-12-31,2.2650056625141484,Theodore Roosevelt
455,1909-01-31,0.33222591362127507,Theodore Roosevelt
456,1909-02-28,-2.8697571743929338,Theodore Roosevelt
457,1909-03-31,1.3636363636363547,Theodore Roosevelt
458,1909-04-30,4.48430493273543,William Howard Taft
459,1909-05-31,3.326180257510735,William Howard Taft
460,1909-06-30,1.7653167185877456,William Howard Taft
461,1909-07-31,1.4285714285714162,William Howard Taft
462,1909-08-31,2.4144869215291775,William Howard Taft
463,1909-09-30,0.0982318271119822,William Howard Taft
464,1909-10-31,0.39254170755643697,William Howard Taft
465,1909-11-30,-0.48875855327468926,William Howard Taft
466,1909-12-31,1.1787819253438212,William Howard Taft
467,1910-01-31,-2.1359223300970935,William Howard Taft
468,1910-02-28,-3.571428571428566,William Howard Taft
469,1910-03-31,2.469135802469138,William Howard Taft
470,1910-04-30,-2.4096385542168695,William Howard Taft
471,1910-05-31,-1.646090534979425,William Howard Taft
472,1910-06-30,-4.811715481171556,William Howard Taft
473,1910-07-31,-5.054945054945045,William Howard Taft
474,1910-08-31,2.4305555555555447,William Howard Taft
475,1910-09-30,0.6779661016949209,William Howard Taft
476,1910-10-31,4.601571268237937,William Howard Taft
477,1910-11-30,-0.1072961373390535,William Howard Taft
478,1910-12-31,-2.79269602577873,William Howard Taft
479,1911-01-31,2.430939226519324,William Howard Taft
480,1911-02-28,1.7259978425026985,William Howard Taft
481,1911-03-31,-1.1664899257688168,William Howard Taft
482,1911-04-30,-0.42918454935623307,William Howard Taft
483,1911-05-31,2.155172413793115,William Howard Taft
484,1911-06-30,2.004219409282695,William Howard Taft
485,1911-07-31,-0.4136504653567647,William Howard Taft
486,1911-08-31,-4.776739356178617,William Howard Taft
487,1911-09-30,-5.452562704471101,William Howard Taft
488,1911-10-31,0.5767012687427994,William Howard Taft
489,1911-11-30,4.013761467889903,William Howard Taft
490,1911-12-31,0.44101433296581194,William Howard Taft
491,1912-01-31,0.10976948408342246,William Howard Taft
492,1912-02-29,-0.8771929824561412,William Howard Taft
493,1912-03-31,2.876106194690283,William Howard Taft
494,1912-04-30,3.1182795698924637,William Howard Taft
495,1912-05-31,-0.10427528675703635,William Howard Taft
496,1912-06-30,0.0,William Howard Taft
497,1912-07-31,0.1043841336116888,William Howard Taft
498,1912-08-31,2.2940563086548553,William Howard Taft
499,1912-09-30,0.5096839959225171,William Howard Taft
500,1912-10-31,-0.20283975659228778,William Howard Taft
501,1912-11-30,-1.1178861788617829,William Howard Taft
502,1912-12-31,-3.5971223021582697,William Howard Taft
503,1913-01-31,-0.852878464818764,William Howard Taft
